timestamp,recipient,sender,sender_domain,subject,spf,dkim,dmarc,url_count,attachment_type,spam_score,verdict
2025-09-26T11:33:18,it@corp.local,no-reply@corp.local,corp.local,Team Update,pass,pass,pass,1,pdf,13,clean
2025-09-26T11:38:18,payroll@corp.local,no-reply@corp.local,corp.local,Welcome,pass,pass,pass,1,none,0,clean
2025-09-26T11:43:18,analyst@corp.local,no-reply@corp.local,corp.local,Weekly Newsletter,pass,pass,pass,1,none,11,clean
2025-09-26T11:48:18,payroll@corp.local,no-reply@corp.local,corp.local,Weekly Newsletter,pass,pass,pass,0,none,3,clean
2025-09-26T11:53:18,payroll@corp.local,no-reply@corp.local,corp.local,Invoice Received,pass,pass,pass,1,none,4,clean
2025-09-26T11:58:18,sales@corp.local,no-reply@corp.local,corp.local,Team Update,pass,pass,pass,0,pdf,20,clean
2025-09-26T12:03:18,sales@corp.local,no-reply@corp.local,corp.local,Weekly Newsletter,pass,pass,pass,0,pdf,4,clean
2025-09-26T12:08:18,analyst@corp.local,no-reply@corp.local,corp.local,Weekly Newsletter,pass,pass,pass,0,pdf,2,clean
2025-09-26T12:13:18,it@corp.local,no-reply@corp.local,corp.local,Weekly Newsletter,pass,pass,pass,0,none,20,clean
2025-09-26T12:18:18,it@corp.local,no-reply@corp.local,corp.local,Team Update,pass,pass,pass,0,none,1,clean
2025-09-26T12:23:18,sales@corp.local,no-reply@corp.local,corp.local,Invoice Received,pass,pass,pass,1,pdf,13,clean
2025-09-26T12:28:18,analyst@corp.local,no-reply@corp.local,corp.local,Weekly Newsletter,pass,pass,pass,1,none,18,clean
2025-09-26T12:33:18,it@corp.local,no-reply@corp.local,corp.local,Welcome,pass,pass,pass,0,none,16,clean
